stimulus_id,unit_id,condition,variant,text,modality,example_count,word_count,sentence_count,character_count,readability,equation_count,lexical_diversity,duration
be_001_traditional,be_001,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/be_001.md,text,1,521,36,3122,7.72,7,0.357,142.1
be_001_ai_scaffolding,be_001,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/be_001.md,text,1,537,37,3127,7.47,4,0.382,146.5
be_001_ai_substitution,be_001,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/be_001.md,text,1,532,35,3145,7.64,7,0.365,145.1
be_002_traditional,be_002,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/be_002.md,text,1,502,29,2936,7.5,9,0.386,136.9
be_002_ai_scaffolding,be_002,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/be_002.md,text,1,521,32,2988,7.32,6,0.393,142.1
be_002_ai_substitution,be_002,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/be_002.md,text,1,500,28,2956,8.13,9,0.41,136.4
cac_001_traditional,cac_001,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/cac_001.md,text,1,525,31,3182,8.91,13,0.366,143.2
cac_001_ai_scaffolding,cac_001,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/cac_001.md,text,1,562,32,3289,8.9,8,0.365,153.3
cac_001_ai_substitution,cac_001,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/cac_001.md,text,1,561,30,3353,9.43,13,0.387,153.0
cac_002_traditional,cac_002,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/cac_002.md,text,1,492,28,3020,9.06,12,0.409,134.2
cac_002_ai_scaffolding,cac_002,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/cac_002.md,text,1,531,31,3155,8.78,8,0.416,144.8
cac_002_ai_substitution,cac_002,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/cac_002.md,text,1,517,29,3146,9.26,12,0.429,141.0
cm_001_traditional,cm_001,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/cm_001.md,text,1,543,30,3242,9.31,11,0.324,148.1
cm_001_ai_scaffolding,cm_001,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/cm_001.md,text,1,556,32,3227,8.7,8,0.349,151.6
cm_001_ai_substitution,cm_001,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/cm_001.md,text,1,539,28,3189,9.61,11,0.323,147.0
cm_002_traditional,cm_002,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/cm_002.md,text,1,500,31,2963,8.0,10,0.366,136.4
cm_002_ai_scaffolding,cm_002,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/cm_002.md,text,1,532,33,3065,7.95,7,0.368,145.1
cm_002_ai_substitution,cm_002,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/cm_002.md,text,1,491,30,2905,8.26,10,0.387,133.9
dol_001_traditional,dol_001,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/dol_001.md,text,1,508,31,3128,9.41,11,0.343,138.5
