table,column,dtype,description
data/processed/phase5/<tag>/simulation_draws,draw_id,int64,"parameter draw (-1 = the central draw, every leaf at medium)"
data/processed/phase5/<tag>/simulation_draws,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
data/processed/phase5/<tag>/simulation_draws,year,int64,school year (0 = before the first episode)
data/processed/phase5/<tag>/simulation_draws,kind,str,`level` (scenario mean) or `contrast` (paired AI - comparator)
data/processed/phase5/<tag>/simulation_draws,outcome,str,outcome name (see the outcome rows of this dictionary)
data/processed/phase5/<tag>/simulation_draws,estimate,float64,mean over learners (level) or mean paired difference (contrast)
data/processed/phase5/<tag>/simulation_draws,sd,float64,SD over learners
data/processed/phase5/<tag>/simulation_draws,median,float64,"median over learners, or across draws in summary tables"
data/processed/phase5/<tag>/simulation_draws,prsup,float64,PrSup (eq. 38): share of learners with a positive paired difference
data/processed/phase5/<tag>/simulation_draws,share_neg,float64,share of learners with a negative paired difference
data/processed/phase5/<tag>/parameter_draws,draw_id,int64,"parameter draw (-1 = the central draw, every leaf at medium)"
data/processed/phase5/<tag>/parameter_draws,population.state_sd,float64,drawn value of the config leaf `population.state_sd` (A1)
data/processed/phase5/<tag>/parameter_draws,population.mu_alpha,float64,drawn value of the config leaf `population.mu_alpha` (A1)
data/processed/phase5/<tag>/parameter_draws,population.sigma_alpha,float64,drawn value of the config leaf `population.sigma_alpha` (A1)
data/processed/phase5/<tag>/parameter_draws,population.b_delta,float64,drawn value of the config leaf `population.b_delta` (A1)
data/processed/phase5/<tag>/parameter_draws,population.theta_slope,float64,drawn value of the config leaf `population.theta_slope` (A1)
data/processed/phase5/<tag>/parameter_draws,population.confidence_bias_sd,float64,drawn value of the config leaf `population.confidence_bias_sd` (A1)
data/processed/phase5/<tag>/parameter_draws,curriculum.b_slope,float64,drawn value of the config leaf `curriculum.b_slope` (A1)
data/processed/phase5/<tag>/parameter_draws,response.rho,float64,drawn value of the config leaf `response.rho` (A1)
data/processed/phase5/<tag>/parameter_draws,response.kappa,float64,drawn value of the config leaf `response.kappa` (A1)
data/processed/phase5/<tag>/parameter_draws,response.omega,float64,drawn value of the config leaf `response.omega` (A1)
data/processed/phase5/<tag>/parameter_draws,effort.a1,float64,drawn value of the config leaf `effort.a1` (A1)
data/processed/phase5/<tag>/parameter_draws,effort.a2,float64,drawn value of the config leaf `effort.a2` (A1)
data/processed/phase5/<tag>/parameter_draws,effort.a3,float64,drawn value of the config leaf `effort.a3` (A1)
data/processed/phase5/<tag>/parameter_draws,effort.a4,float64,drawn value of the config leaf `effort.a4` (A1)
data/processed/phase5/<tag>/parameter_draws,effectiveness.f3,float64,drawn value of the config leaf `effectiveness.f3` (A1)
data/processed/phase5/<tag>/parameter_draws,effectiveness.f4,float64,drawn value of the config leaf `effectiveness.f4` (A1)
data/processed/phase5/<tag>/parameter_draws,updates.eta_M,float64,drawn value of the config leaf `updates.eta_M` (A1)
