K_tercile,protocol,share,engine
all,ai_substitution,0.44166666666666665,centaur
all,traditional,0.3125,centaur
all,ai_scaffolding,0.24583333333333332,centaur
high,ai_substitution,0.435,centaur
high,traditional,0.3075,centaur
high,ai_scaffolding,0.2575,centaur
low,ai_substitution,0.39,centaur
low,traditional,0.3475,centaur
low,ai_scaffolding,0.2625,centaur
mid,ai_substitution,0.5,centaur
mid,traditional,0.2825,centaur
mid,ai_scaffolding,0.2175,centaur
all,traditional,0.39,logistic
all,ai_substitution,0.30916666666666665,logistic
all,ai_scaffolding,0.30083333333333334,logistic
high,traditional,0.395,logistic
high,ai_scaffolding,0.3075,logistic
high,ai_substitution,0.2975,logistic
low,ai_substitution,0.35,logistic
low,traditional,0.3475,logistic
low,ai_scaffolding,0.3025,logistic
mid,traditional,0.4275,logistic
mid,ai_scaffolding,0.2925,logistic
mid,ai_substitution,0.28,logistic
