network,condition,mean,ci_low,ci_high,n_units
Vis,traditional,-1.7940586110600534,-2.851974956665743,-0.8521699589983258,30
Vis,ai_scaffolding,-2.6911994981186598,-3.681454176080816,-1.8160965310228394,30
Vis,ai_substitution,-0.7245598790276339,-1.832876874440765,0.2321873338202677,30
SomMot,traditional,12.32962627831694,11.59645564739065,12.983498719225,30
SomMot,ai_scaffolding,11.379284703102226,10.748639364902967,11.975030062324771,30
SomMot,ai_substitution,12.875788462225389,12.290558056490614,13.432625828761111,30
DorsAttn,traditional,11.58213719326255,10.266926401877468,12.858243699433284,30
DorsAttn,ai_scaffolding,8.212612431261988,6.968774882119389,9.39864693591659,30
DorsAttn,ai_substitution,11.750755054260644,10.441139035142127,12.951755486280016,30
SalVentAttn,traditional,12.46779045469635,11.499886549083547,13.419492263083452,30
SalVentAttn,ai_scaffolding,10.174341577746954,9.15464686002882,11.108153029490172,30
SalVentAttn,ai_substitution,12.786737807842027,11.776455496021356,13.713227128189628,30
Limbic,traditional,6.09460151976549,5.49560745221156,6.65484220441145,30
Limbic,ai_scaffolding,6.215840321240547,5.75453057361028,6.694727901332083,30
Limbic,ai_substitution,6.301465736264638,5.84351673743037,6.774609729530478,30
Cont,traditional,26.457481438598823,25.124683391325693,27.81458221485071,30
Cont,ai_scaffolding,24.352638539980738,23.18712939359661,25.6117157005481,30
Cont,ai_substitution,26.612002800860008,25.334617743430215,27.94949259471191,30
Default,traditional,21.610996289269664,20.548203611936945,22.668099482041313,30
Default,ai_scaffolding,22.70090788302504,21.7911080242198,23.65030299097977,30
Default,ai_substitution,22.567085491000572,21.58291611415678,23.55606659468996,30
