condition,unit_a,unit_b,dissimilarity
traditional,be_001,be_002,0.004578670706160581
traditional,be_001,cac_001,0.009316762497820097
traditional,be_001,cac_002,0.011806023551348521
traditional,be_001,cm_001,0.001452173082331254
traditional,be_001,cm_002,0.005594980669797245
traditional,be_001,ltv_001,0.005849097881624354
traditional,be_001,ltv_002,0.0060385446404085386
traditional,be_001,mos_001,0.00567796208414173
traditional,be_001,mos_002,0.008426949531844086
traditional,be_001,mkp_001,0.007117191446424198
traditional,be_001,mkp_002,0.009499380780237487
traditional,be_001,mix_001,0.010744048353145796
traditional,be_001,mix_002,0.01669099504098681
traditional,be_001,npv_001,0.015470260467903452
traditional,be_001,npv_002,0.007393052357004382
traditional,be_001,dol_001,0.010222800590910297
traditional,be_001,dol_002,0.010028673713980973
traditional,be_001,pbp_001,0.01541273096480733
traditional,be_001,pbp_002,0.010678371945382237
traditional,be_001,pel_001,0.00811759413162605
traditional,be_001,pel_002,0.012916497174966013
traditional,be_001,spo_001,0.016942898969905973
traditional,be_001,spo_002,0.05943115735147553
traditional,be_001,roi_001,0.006676294928337545
traditional,be_001,roi_002,0.0072330639714572875
traditional,be_001,tp_001,0.01057396027237334
traditional,be_001,tp_002,0.006924336031467249
traditional,be_001,wac_001,0.01670747081352597
traditional,be_001,wac_002,0.01707113814474892
traditional,be_002,cac_001,0.014310310654787717
traditional,be_002,cac_002,0.01577278969270035
traditional,be_002,cm_001,0.005529848539577276
traditional,be_002,cm_002,0.0050603420272622435
traditional,be_002,ltv_001,0.009906982984126955
traditional,be_002,ltv_002,0.011259531027711822
traditional,be_002,mos_001,0.010741860723246122
traditional,be_002,mos_002,0.008291863872603056
traditional,be_002,mkp_001,0.018582258451410816
traditional,be_002,mkp_002,0.019986823142672527
traditional,be_002,mix_001,0.024936126618889776
traditional,be_002,mix_002,0.026741784033395
traditional,be_002,npv_001,0.030147457926205767
traditional,be_002,npv_002,0.011078156507098202
traditional,be_002,dol_001,0.015647090547439513
traditional,be_002,dol_002,0.008528220023589439
traditional,be_002,pbp_001,0.01750458286903056
traditional,be_002,pbp_002,0.010257593643117624
