panel,variable,scenario,time,mean,p05,p95
year 1 weekly,K,traditional,1,0.4002585504937721,0.3795330364450107,0.4207275824866313
year 1 weekly,K,traditional,2,0.44195377724480184,0.41097072310823757,0.47343955313060726
year 1 weekly,K,traditional,3,0.47521733958726997,0.4370033268117976,0.5147008191232643
year 1 weekly,K,traditional,4,0.5015296506245994,0.4566849466938898,0.5471160705274863
year 1 weekly,K,traditional,5,0.5253258665147066,0.4734252630854771,0.5773318074261282
year 1 weekly,K,traditional,6,0.5425168018231677,0.487139847183547,0.5957205205217083
year 1 weekly,K,traditional,7,0.5587276793423303,0.4999380410221048,0.6145936729841843
year 1 weekly,K,traditional,8,0.5718933786774758,0.5096186792226222,0.6291462715265609
year 1 weekly,K,traditional,9,0.5824646938605573,0.5174455222780722,0.6415595301605275
year 1 weekly,K,traditional,10,0.5908371668364042,0.522570562914845,0.652920877194638
year 1 weekly,K,traditional,11,0.591273700150379,0.523539484465172,0.6520010008058893
year 1 weekly,K,traditional,12,0.5953198119043716,0.5282361999526944,0.6550018107326554
year 1 weekly,K,traditional,13,0.5987551805596751,0.5320881643351316,0.6588907790780042
year 1 weekly,K,traditional,14,0.6016835127316863,0.5350009397721126,0.6619038625771134
year 1 weekly,K,traditional,15,0.6079637465098858,0.539694259345862,0.668644910036335
year 1 weekly,K,traditional,16,0.6106670500466191,0.5424791248213701,0.6713879117352674
year 1 weekly,K,traditional,17,0.615350061310707,0.5467095516732262,0.6773233269073193
year 1 weekly,K,traditional,18,0.6191540788381051,0.5498809816148559,0.6811948453518234
year 1 weekly,K,traditional,19,0.6223899212264918,0.5517807174758299,0.6855263016110971
year 1 weekly,K,traditional,20,0.625190754117,0.5516077194322208,0.6900095428660801
year 1 weekly,K,traditional,21,0.6207200088985526,0.5491653618758018,0.6841942333126159
year 1 weekly,K,traditional,22,0.6203948997332338,0.5503564115020082,0.6824746408958628
year 1 weekly,K,traditional,23,0.6201926812747636,0.5510955350342268,0.6812898922308729
year 1 weekly,K,traditional,24,0.620076475305558,0.5514418237604097,0.6804037487577734
year 1 weekly,K,traditional,25,0.6237132606921838,0.5541589428535382,0.6846302780772558
year 1 weekly,K,traditional,26,0.6242535394267356,0.5546976159646364,0.6850481655782674
year 1 weekly,K,traditional,27,0.6270630497700722,0.5565788799876529,0.6882588860198544
year 1 weekly,K,traditional,28,0.629288748399754,0.5586861507684565,0.6909114578833361
year 1 weekly,K,traditional,29,0.6312185642936973,0.5593890789762546,0.6931317264030382
