scenario,a,e,o,f,median_G,mean,n,lo90,hi90,lo95,hi95,share_beneficial_eps0.01,class_eps0.01,share_beneficial_eps0.02,class_eps0.02,share_beneficial_eps0.05,class_eps0.05
grid_o0.00_a0.10_e0.00,0.1,0.0,0.0,0.0,-0.009191745863064885,-0.009643383756028794,100,-0.01617805453203372,-0.003940550845728826,-0.017657866656851443,-0.0031677633554728782,0.0,neutral,0.0,neutral,0.0,neutral
grid_o0.00_a0.10_e0.17,0.1,0.167,0.0,0.0,-0.008666158519474054,-0.009125545728492217,100,-0.015357421591603094,-0.003906366807192754,-0.01654096551591814,-0.0031082617218867814,0.0,neutral,0.0,neutral,0.0,neutral
grid_o0.00_a0.10_e0.33,0.1,0.333,0.0,0.0,-0.00817898362874539,-0.00850543251331518,100,-0.014338372444382947,-0.0038061586239285863,-0.01521771162471851,-0.003038166261461778,0.0,neutral,0.0,neutral,0.0,neutral
grid_o0.00_a0.10_e0.50,0.1,0.5,0.0,0.0,-0.007612365629864063,-0.00778036087550015,100,-0.012776856325647871,-0.0036569900458946,-0.013898940499255902,-0.0029463260854914308,0.0,neutral,0.0,neutral,0.0,neutral
grid_o0.00_a0.10_e0.67,0.1,0.667,0.0,0.0,-0.00694864848286204,-0.006976394128346295,100,-0.011942783981334606,-0.0031504119600151374,-0.012466822277329254,-0.002580691590159277,0.0,neutral,0.0,neutral,0.0,neutral
grid_o0.00_a0.10_e0.83,0.1,0.833,0.0,0.0,-0.006212080409807022,-0.006133459907029133,100,-0.01052782209926926,-0.0028497959280728894,-0.011413928273092445,-0.002145455436869086,0.0,neutral,0.0,neutral,0.0,neutral
grid_o0.00_a0.10_e1.00,0.1,1.0,0.0,0.0,-0.005494921206239562,-0.005290909751800898,100,-0.00894820175049526,-0.002393008806038527,-0.010458636427762878,-0.0012594107674235894,0.0,neutral,0.0,neutral,0.0,neutral
grid_o0.00_a0.25_e0.00,0.25,0.0,0.0,0.0,-0.0035539000583482807,-0.0036646297967438636,100,-0.006102045873586355,-0.001452144413873421,-0.006690582278874405,-0.0012034549856374866,0.0,neutral,0.0,neutral,0.0,neutral
grid_o0.00_a0.25_e0.17,0.25,0.167,0.0,0.0,-0.003075638770603964,-0.0031635139184833976,100,-0.005164557890041128,-0.0014205026679539857,-0.005642862453151989,-0.001150772397188313,0.0,neutral,0.0,neutral,0.0,neutral
grid_o0.00_a0.25_e0.33,0.25,0.333,0.0,0.0,-0.002637466325125384,-0.0025768794820834585,100,-0.0042357102197841745,-0.0011994055518130403,-0.004547550497212337,-0.0009930478024294351,0.0,neutral,0.0,neutral,0.0,neutral
grid_o0.00_a0.25_e0.50,0.25,0.5,0.0,0.0,-0.0019904576245257394,-0.0018884819960848056,100,-0.003198108958045726,-0.0008203532882606271,-0.0037159634599421027,0.00010255054003563142,0.0,neutral,0.0,neutral,0.0,neutral
grid_o0.00_a0.25_e0.67,0.25,0.667,0.0,0.0,-0.001420522750332675,-0.0011270728546795207,100,-0.0024073448075454945,0.0007095389067556463,-0.002808609209672774,0.002132217174589477,0.0,neutral,0.0,neutral,0.0,neutral
