scenario,half_life_weeks,lambda_O,network,median_d,prsup,n_draws
substitution,4.0,0.0,Cont,0.1924896653911552,0.5622333333333334,100
substitution,4.0,0.0,Default,4.605915731025564,1.0,100
substitution,4.0,0.0,DorsAttn,-0.630613339332394,0.24056666666666665,100
substitution,4.0,0.0,Limbic,3.424687749205576,1.0,100
substitution,4.0,0.0,SalVentAttn,0.6173915662693191,0.7144666666666667,100
substitution,4.0,0.0,SomMot,3.0225040016189433,0.9999333333333333,100
substitution,4.0,0.0,Vis,3.5760614091177043,1.0,100
substitution,4.0,0.1667,Cont,0.12299984035327463,0.5321,100
substitution,4.0,0.1667,Default,3.0866692519080585,0.9987999999999999,100
substitution,4.0,0.1667,DorsAttn,-0.55636697873017,0.2639666666666667,100
substitution,4.0,0.1667,Limbic,2.1759118819849883,0.9891333333333333,100
substitution,4.0,0.1667,SalVentAttn,0.20097518156423994,0.5656333333333333,100
substitution,4.0,0.1667,SomMot,1.832734825182159,0.9621333333333334,100
substitution,4.0,0.1667,Vis,2.2062981691765913,0.9885333333333334,100
substitution,4.0,0.3333,Cont,0.07252230828482904,0.5158333333333334,100
substitution,4.0,0.3333,Default,2.23138911643063,0.9618666666666666,100
substitution,4.0,0.3333,DorsAttn,-0.5163633173360492,0.2823,100
substitution,4.0,0.3333,Limbic,1.4739248556882445,0.9080666666666667,100
substitution,4.0,0.3333,SalVentAttn,-0.04213164605015417,0.48710000000000003,100
substitution,4.0,0.3333,SomMot,1.1438401690302555,0.8233,100
substitution,4.0,0.3333,Vis,1.4509765274276383,0.8756333333333334,100
substitution,4.0,0.5,Cont,0.03871969249572586,0.5046333333333333,100
substitution,4.0,0.5,Default,1.6974591528653304,0.9053,100
substitution,4.0,0.5,DorsAttn,-0.4879849484213288,0.2968,100
substitution,4.0,0.5,Limbic,1.0194899402119773,0.8094333333333332,100
substitution,4.0,0.5,SalVentAttn,-0.20752350784345241,0.43976666666666664,100
substitution,4.0,0.5,SomMot,0.7252321628669435,0.7241,100
substitution,4.0,0.5,Vis,0.9737813233536252,0.7813333333333334,100
substitution,4.0,0.6667,Cont,0.014822263083316523,0.4978,100
substitution,4.0,0.6667,Default,1.32018470883484,0.8540000000000001,100
substitution,4.0,0.6667,DorsAttn,-0.46396900886949444,0.3072666666666667,100
substitution,4.0,0.6667,Limbic,0.7056471216484126,0.7346666666666667,100
substitution,4.0,0.6667,SalVentAttn,-0.32490750282811715,0.40490000000000004,100
substitution,4.0,0.6667,SomMot,0.4346537049865289,0.6584333333333333,100
