level,key,metric,contrast,estimate,se,ci_low,ci_high,n_units,p,q_fdr
parcel,1,auc,S-T,-0.2079807077809517,0.27826027773291423,-0.7723441876254702,0.3190734659868882,30,0.45480267940901153,0.5314150100202666
parcel,1,auc,U-T,1.0434007025091958,0.25239597320646734,0.5391402622762368,1.5410322154329341,30,3.565296124061346e-05,7.952333362218616e-05
parcel,1,auc,S-U,-1.2513814102901475,0.19882500956819849,-1.6570837288523306,-0.8625559355511345,30,3.096206058948329e-10,1.0645980718446977e-09
parcel,10,auc,S-T,-0.042780599270945845,0.2645913408116067,-0.5787090800001906,0.4619125149832012,30,0.8715534758842668,0.90083046603025
parcel,10,auc,U-T,1.5732400595324987,0.26976676107714587,1.0417398466819956,2.065160066499168,30,5.481524386560826e-09,1.712976370800258e-08
parcel,10,auc,S-U,-1.6160206588034445,0.22061718275148376,-2.051395637157036,-1.2133470296356788,30,2.3890036839021095e-13,1.1242370277186397e-12
parcel,100,auc,S-T,-1.7747772209107275,0.27650831742063825,-2.334126511432731,-1.223651423829452,30,1.3759554608452038e-10,4.914126645875728e-10
parcel,100,auc,U-T,0.46048820056084194,0.1936365935311661,0.08326778344231572,0.8398218258682865,30,0.0174018578872005,0.027190402948750785
parcel,100,auc,S-U,-2.2352654214715697,0.20734251751390215,-2.6584215869748236,-1.8518350815504345,30,4.253562475550746e-27,1.2449451147953404e-25
parcel,101,auc,S-T,-2.9232566709953156,0.30171791890213945,-3.500108112217157,-2.3464939756857186,30,3.3676320512100256e-22,4.08197824389094e-21
parcel,101,auc,U-T,0.25713052758228827,0.2126903477908066,-0.1568624668708419,0.6594696424230136,30,0.22668470771321658,0.2876175630167478
parcel,101,auc,S-U,-3.1803871985776038,0.26480788152153223,-3.724878504170855,-2.6812630779399598,30,3.142053254001612e-33,3.4276944589108488e-31
parcel,102,auc,S-T,-1.3201121459529843,0.1964565041985501,-1.7242495146229926,-0.9447592922672918,30,1.82204867595518e-11,7.00787952290454e-11
parcel,102,auc,U-T,0.6537859244955484,0.1746376049145286,0.2959238310931596,0.9794070160199768,30,0.00018135030627749768,0.00037456173413596766
parcel,102,auc,S-U,-1.9738980704485327,0.14825813202136007,-2.2679222085634594,-1.6911199332071283,30,1.9211049645796243e-40,7.684419858318497e-38
parcel,103,auc,S-T,-1.8580342627336421,0.26416035022827805,-2.3952289927261945,-1.336559445517888,30,2.010748848087389e-12,8.496121893326997e-12
parcel,103,auc,U-T,0.13410463325000335,0.21678670035831107,-0.26660122867356406,0.5588393533491771,30,0.5361787455886452,0.607567983669853
parcel,103,auc,S-U,-1.9921388959836455,0.21793413108846996,-2.4342346005683435,-1.5816794014941082,30,6.186958236071874e-20,5.582217957358082e-19
parcel,104,auc,S-T,-1.5687486918669076,0.19918226308712506,-1.9777778360360634,-1.1906716440758995,30,3.3817504687629502e-15,1.989264981625265e-14
parcel,104,auc,U-T,0.8785514509794403,0.16620706904396768,0.5415535605619849,1.1949115826796128,30,1.2509847746124622e-07,3.507433947511576e-07
parcel,104,auc,S-U,-2.447300142846348,0.14888999155997915,-2.7492125866440307,-2.1742233752177325,30,1.0399183780756523e-60,1.2479020536907827e-57
parcel,105,auc,S-T,-4.656464707714044,0.4431224265334213,-5.559321760232307,-3.815015702712878,30,7.910414868347193e-26,1.8254803542339678e-24
parcel,105,auc,U-T,-0.7794016433010575,0.4106187821265199,-1.5707179349632796,0.04805379817440293,30,0.05768094306358574,0.08309379552977537
parcel,105,auc,S-U,-3.8770630644129866,0.3912490797759389,-4.6513042199829036,-3.108965222614474,30,3.787264950089166e-23,5.223813724260918e-22
parcel,106,auc,S-T,-2.95003378159194,0.4967441889519995,-3.922844822750799,-1.949794555400555,30,2.872237826667901e-09,9.118215322755242e-09
parcel,106,auc,U-T,0.05801633597369138,0.3949118394220853,-0.7165205103265329,0.8489348790203939,30,0.8832033832149966,0.9097373904360481
