term,estimate,se,ci_low,ci_high,level,metric,n_obs,n_units,unit_intercept_var
Intercept,14.511400355244515,1.1194414282948797,12.317335472984473,16.705465237504555,network,auc,630,30,2.506657090463469
C(condition)[T.ai_scaffolding],-1.2005926578015649,0.20415377346790303,-1.6007267011066038,-0.800458614496526,network,auc,630,30,2.506657090463469
C(condition)[T.ai_substitution],0.48867155865369394,0.20415377346790303,0.08853751534865512,0.8888056019587327,network,auc,630,30,2.506657090463469
C(domain)[T.managerial_accounting],1.5312018820848967,0.7347958193898338,0.09102854009022399,2.971375224079569,network,auc,630,30,2.506657090463469
C(domain)[T.marketing_analytics],1.2514788692641707,1.0090312631249434,-0.7261860657356771,3.2291438042640186,network,auc,630,30,2.506657090463469
C(domain)[T.pricing],2.887073485314909,1.0090312631249434,0.9094085503150613,4.864738420314757,network,auc,630,30,2.506657090463469
difficulty,-1.1920770844109636,0.37944692951462267,-1.9357794003039324,-0.44837476851799474,network,auc,630,30,2.506657090463469
Intercept,0.09653183039424461,0.007615702847096614,0.0816053270969761,0.11145833369151312,network,mean,630,30,0.00011909105544922604
C(condition)[T.ai_scaffolding],-0.007106019480227766,0.0011798730280371242,-0.009418528121510747,-0.004793510838944786,network,mean,630,30,0.00011909105544922604
C(condition)[T.ai_substitution],0.002240191291341041,0.0011798730280371242,-7.23173499419397e-05,0.004552699932624022,network,mean,630,30,0.00011909105544922604
C(domain)[T.managerial_accounting],0.009528022754263269,0.0050067026121147435,-0.00028493404678424025,0.019340979555310778,network,mean,630,30,0.00011909105544922604
C(domain)[T.marketing_analytics],0.007820071204142746,0.006875269738181357,-0.00565520986669084,0.02129535227497633,network,mean,630,30,0.00011909105544922604
C(domain)[T.pricing],0.01902133187895838,0.006875269738181357,0.005546050808124795,0.03249661294979197,network,mean,630,30,0.00011909105544922604
difficulty,-0.009653047720498305,0.0025854501114844887,-0.01472043682283297,-0.0045856586181636395,network,mean,630,30,0.00011909105544922604
Intercept,15.701006391463553,1.0079445779381124,13.725471320292426,17.676541462634678,parcel,auc,36000,30,2.2148611728291505
C(condition)[T.ai_scaffolding],-1.0166614769571587,0.04373292213016784,-1.1023764292709823,-0.930946524643335,parcel,auc,36000,30,2.2148611728291505
C(condition)[T.ai_substitution],0.5916871086505651,0.04373292213016784,0.5059721563367414,0.6774020609643887,parcel,auc,36000,30,2.2148611728291505
C(domain)[T.managerial_accounting],1.4610434040824944,0.6650992771614507,0.15747277470242782,2.764614033462561,parcel,auc,36000,30,2.2148611728291505
C(domain)[T.marketing_analytics],1.2500159009171945,0.9133230565970879,-0.5400643962631353,3.0400961980975243,parcel,auc,36000,30,2.2148611728291505
C(domain)[T.pricing],2.504593164998511,0.9133230565970878,0.7145128678181816,4.2946734621788405,parcel,auc,36000,30,2.2148611728291505
difficulty,-1.2989202622815945,0.34345578987015324,-1.9720812407088517,-0.6257592838543374,parcel,auc,36000,30,2.2148611728291505
Intercept,0.10447531588126646,0.007567563045589727,0.08964316486117435,0.11930746690135857,parcel,mean,36000,30,0.00012509731850626836
C(condition)[T.ai_scaffolding],-0.0060056976650940406,0.0002539417808498887,-0.006503414409729786,-0.0055079809204582955,parcel,mean,36000,30,0.00012509731850626836
C(condition)[T.ai_substitution],0.0028004413576269128,0.0002539417808498889,0.0023027246129911673,0.0032981581022626582,parcel,mean,36000,30,0.00012509731850626836
C(domain)[T.managerial_accounting],0.009107503756404567,0.004994139333806248,-0.0006808294716305376,0.01889583698443967,parcel,mean,36000,30,0.00012509731850626836
C(domain)[T.marketing_analytics],0.007824752971972094,0.0068580176795373995,-0.005616714685260163,0.02126622062920435,parcel,mean,36000,30,0.00012509731850626836
C(domain)[T.pricing],0.016752604940722452,0.0068580176795373995,0.0033111372834901953,0.03019407259795471,parcel,mean,36000,30,0.00012509731850626836
difficulty,-0.010512672657203542,0.0025789624624518812,-0.01556734620108996,-0.005457999113317124,parcel,mean,36000,30,0.00012509731850626836
