scenario,network,year,mechanism,d_mean,d_median,d_n,d_lo90,d_hi90,d_lo95,d_hi95,prsup
free_choice,Cont,1,D,-3.3068753024508646,-3.364350545894465,500,-3.7339706115204585,-2.7320661758322524,-3.7912859563530485,-2.6381055479966373,0.0012520000000000003
free_choice,Cont,5,D,-4.185374657594626,-4.145680086697885,500,-5.577894257766004,-2.8584218916464064,-5.808487985699896,-2.679801119604732,0.001444
free_choice,Cont,10,D,-3.445708537131096,-3.45856176229871,500,-5.169651542999692,-1.8071868646297393,-5.562290653218401,-1.5443751380680635,0.009597999999999999
free_choice,Default,1,D,3.7517141866799486,3.7842677661172215,500,3.1982157200068873,4.16854306427463,3.086924607533192,4.207091198096212,0.9996770000000001
free_choice,Default,5,D,4.2115056803338895,4.217378329886531,500,3.0070068953697158,5.384578872326419,2.6971550428214326,5.520956481428398,0.997636
free_choice,Default,10,D,3.402567661789566,3.596777763708925,500,1.3074717714316821,4.945683141781062,0.9910945211088193,5.158726532948118,0.973483
free_choice,DorsAttn,1,D,-4.66788577322439,-4.735985285373346,500,-5.191807640299683,-3.8977573076472387,-5.251823590287184,-3.777445272159273,4e-05
free_choice,DorsAttn,5,D,-5.695155219300938,-5.652874948483245,500,-7.479262893891062,-3.8369357440787417,-7.804775357944371,-3.5371786540393084,0.000252
free_choice,DorsAttn,10,D,-4.475878984361142,-4.541506981473114,500,-6.859733649927,-2.1009198184402553,-7.3024204912384105,-1.7235664615394741,0.006113
free_choice,Limbic,1,D,1.2704399669604853,1.2735328080366344,500,1.0426478720476375,1.467988704657983,0.997539108624219,1.5066593153581151,0.9006810000000001
free_choice,Limbic,5,D,1.3409533537869252,1.3241548972342438,500,0.9139420551931344,1.8020481975812985,0.8601998742831344,1.8609508465099556,0.9110049999999998
free_choice,Limbic,10,D,1.20280582932089,1.2310818546742237,500,0.5281926698259468,1.7589198568744544,0.3419041774512726,1.8286718511623639,0.881591
free_choice,SalVentAttn,1,D,-4.1019683811161505,-4.158015096826566,500,-4.511103704844461,-3.511040320414243,-4.570460325527941,-3.4123644753036593,8.8e-05
free_choice,SalVentAttn,5,D,-5.12592616708001,-5.07695639942487,500,-6.690914136704231,-3.593763142215503,-6.964039696764036,-3.3942177717696196,0.00022300000000000003
free_choice,SalVentAttn,10,D,-4.13354765914554,-4.184898940374849,500,-6.083498703920463,-2.1493787893866676,-6.46439479408547,-1.8172318310190352,0.0035910000000000004
free_choice,SomMot,1,D,-1.9026360928095274,-1.9110761077975904,500,-2.0906427721957255,-1.6775256355685182,-2.1142307110988394,-1.6239960775247724,0.029263
free_choice,SomMot,5,D,-2.701359756286468,-2.680056204855047,500,-3.5104808521804687,-1.917815393962804,-3.611887455353987,-1.8140953370038113,0.007469
free_choice,SomMot,10,D,-2.467431561822301,-2.421147593244389,500,-3.3479342673448933,-1.68163772590393,-3.495717951282063,-1.565514331856211,0.012187000000000002
free_choice,Vis,1,D,-0.49566778832545616,-0.49540563026892276,500,-0.6406954842868817,-0.3414169714877761,-0.6610004112851758,-0.3115566135190942,0.30497900000000006
free_choice,Vis,5,D,-1.0822640658615876,-1.0850219334544393,500,-1.5031804556836919,-0.6692869174505307,-1.563418568113933,-0.5933276143404037,0.144945
free_choice,Vis,10,D,-1.0137420846768057,-1.0221586246185046,500,-1.4774216175448283,-0.5378137355270007,-1.5422410040122794,-0.45862854331054,0.163117
free_choice_centaur,Cont,1,D,-2.1120631932027685,-2.1327468868201627,500,-2.3772222220195394,-1.7827888678302577,-2.408288700797886,-1.7258546168279332,0.017846000000000004
free_choice_centaur,Cont,5,D,-2.8351967271173093,-2.811700658880479,500,-3.710933541316572,-2.0236720956792644,-3.8331347345086764,-1.89850019339088,0.0056370000000000005
free_choice_centaur,Cont,10,D,-2.5777441554677716,-2.5638720669470167,500,-3.678851152910368,-1.4918233592356387,-3.875338208961492,-1.2786025173365239,0.016846
free_choice_centaur,Default,1,D,4.166843517022351,4.21072023508661,500,3.229210104918436,4.922818638472046,3.06585120915083,5.026246361426947,0.999647
free_choice_centaur,Default,5,D,4.759201425712965,4.675345603798473,500,2.8657285335421454,6.831848892622162,2.5823507101006435,7.316400082814724,0.997882
free_choice_centaur,Default,10,D,3.4677501415546823,3.3395953822651214,500,1.4606316594111848,5.942700552893336,1.1702890265849726,6.544509049753486,0.977063
free_choice_centaur,DorsAttn,1,D,-3.2775942466826464,-3.3052876451791624,500,-3.5958811343150887,-2.876844896672359,-3.6201611222944976,-2.81909277905577,0.00041000000000000005
free_choice_centaur,DorsAttn,5,D,-4.292556114123757,-4.269514963594896,500,-5.5839411207763705,-3.0393740731792236,-5.755303186126587,-2.8797257069925357,0.00045500000000000006
free_choice_centaur,DorsAttn,10,D,-3.645478303995814,-3.7190476630730136,500,-5.360176033184354,-1.8888290430648131,-5.683126801738975,-1.5854935762227873,0.00923
free_choice_centaur,Limbic,1,D,1.9436275351055134,1.9549677858282473,500,1.5119952754122292,2.356078480356067,1.4169025790608247,2.4201865764182036,0.969882
free_choice_centaur,Limbic,5,D,2.436725826726587,2.4049118242271375,500,1.6080330474146862,3.3738333571516588,1.4691650334202926,3.6059407915055877,0.9809110000000001
free_choice_centaur,Limbic,10,D,1.9650391905943716,1.9292702557181913,500,0.9807349596828396,3.074919664746233,0.8024842426398734,3.331345701343252,0.943447
free_choice_centaur,SalVentAttn,1,D,-2.5278432929255388,-2.545599409718182,500,-2.7451191840169136,-2.2805313088498753,-2.777346573261873,-2.246858066500373,0.004737
free_choice_centaur,SalVentAttn,5,D,-3.377088954096935,-3.3761370954973744,500,-4.32316908075341,-2.510986544219308,-4.4136710123191945,-2.4208259393504696,0.001128
free_choice_centaur,SalVentAttn,10,D,-3.0856189581007576,-3.102968308130581,500,-4.253388847003512,-1.8552042650920193,-4.3782984868466155,-1.5718713097429278,0.008158000000000002
free_choice_centaur,SomMot,1,D,-0.386250769576308,-0.38138857487069416,500,-0.5501058261305365,-0.23029876444609076,-0.5752651181733439,-0.2086172567986753,0.352024
free_choice_centaur,SomMot,5,D,-0.4986561162128668,-0.4846178737799834,500,-0.8064969465607591,-0.23740546272449065,-0.8623828631101065,-0.20112581352165185,0.31390300000000004
free_choice_centaur,SomMot,10,D,-0.6627427717638744,-0.6341306088522782,500,-1.0974505967328347,-0.3056718210209142,-1.1735266788339904,-0.26594969926773876,0.259018
free_choice_centaur,Vis,1,D,1.0182722255766348,1.0243785286190503,500,0.7112837842714221,1.2870075938902579,0.6515753424898825,1.3201007255446797,0.841499
free_choice_centaur,Vis,5,D,1.2672375944674095,1.2501071203558642,500,0.757851926396896,1.8194123118585193,0.6499969509549702,1.9653220277662153,0.880425
free_choice_centaur,Vis,10,D,0.9332203772031178,0.9239208180077458,500,0.2693633808353361,1.618872523231988,0.1287024586323123,1.7977844925003295,0.7876749999999999
scaffolding_nofade,Cont,1,D,-13.591124313847951,-12.077214166859012,500,-26.051165280711427,-6.149856347061697,-30.347697718614587,-5.5798878899000215,1.2e-05
