scenario,outcome,year,mean,median,n,lo90,hi90,lo95,hi95,prsup,share_draws_positive
free_choice,D,1,0.017323287694652266,0.017252522014806607,500,0.011113533243410481,0.02437819076521695,0.01060632914644489,0.025724768053554392,0.9555820000000002,1.0
free_choice,D,5,0.028733401073454054,0.028249541917158713,500,0.013700088824610795,0.04532508524607221,0.012350072461403292,0.05128781516668725,0.9962629999999999,1.0
free_choice,D,10,0.04118327480051521,0.04243642277970725,500,0.0184532531204895,0.06147771166835626,0.015075304640865827,0.06365090690133891,0.9984059999999999,1.0
free_choice,G,1,-0.012079446194095457,-0.011875289644762567,500,-0.01644336022508379,-0.008611722511945676,-0.017545393520823266,-0.008134771952797059,0.04139,0.0
free_choice,G,5,-0.020558861405377847,-0.019918644587037612,500,-0.03189005738143263,-0.010705248889181028,-0.035864506665198435,-0.009714713292483832,0.006342,0.0
free_choice,G,10,-0.0323832633115444,-0.032283956750200064,500,-0.05219287631466939,-0.014096880157457576,-0.057268692693432224,-0.011976301034386056,0.0037120000000000005,0.0
free_choice,K,1,-0.007036520846508604,-0.006788383378868328,500,-0.011034980747210626,-0.003967669862072616,-0.012184064946387994,-0.00369464387717012,0.337903,0.0
free_choice,K,5,-0.009418135082789889,-0.008589693287165003,500,-0.018047401676067897,-0.003320261953648714,-0.021895499107550582,-0.002613034920766155,0.40587100000000004,0.0
free_choice,K,10,-0.02063807837015185,-0.01814713181938088,500,-0.042845343186730195,-0.004741193258623948,-0.04722103796023325,-0.0036458631330384566,0.312183,0.0
free_choice,M,1,-0.010166627300135553,-0.009870818312704545,500,-0.014928765522570721,-0.006341286183114483,-0.01603434046635967,-0.005951627394714215,0.005174000000000001,0.0
free_choice,M,5,-0.010414533094970401,-0.009747718610566912,500,-0.018219305395419733,-0.004718267781750914,-0.02171782291337323,-0.004107382425313312,0.031077999999999998,0.0
free_choice,M,10,-0.019681952711788873,-0.018097647904956923,500,-0.039007146637727884,-0.0058358421631855934,-0.0444552223580699,-0.005112514114116713,0.022723,0.0
free_choice,R,1,-0.013791348935085402,-0.01367111679497254,500,-0.01767140380044819,-0.010484089258778485,-0.018533104856392535,-0.010088312736769552,0.011209000000000002,0.0
