key,contrast,metric,primary,min,max,sd_regeneration,same_sign_all_9,claim_allowed
Cont,S-T,auc,-2.1048428986180783,-4.533105587332444,0.25129488323791943,1.5810347444107695,False,False
Default,S-T,auc,1.0899115937553685,-0.01299554144016953,1.6468104787033004,0.5445747830534102,False,False
DorsAttn,S-T,auc,-3.3695247620005606,-3.796866253074401,-2.9318432821279945,0.28537666715434457,True,True
Limbic,S-T,auc,0.12123880147505778,-0.5532962872141755,0.5172346714666562,0.3416872675077358,False,False
SalVentAttn,S-T,auc,-2.2934488769493964,-2.8497389577324697,-1.4286299277420953,0.48433720539111147,True,True
SomMot,S-T,auc,-0.9503415752147144,-1.1249179021721136,-0.12231760401683942,0.37086565417406603,True,True
Vis,S-T,auc,-0.8971408870586072,-2.8344688835144156,1.0703014345090753,1.298093169146081,False,False
Cont,U-T,auc,0.15452136226118587,-2.5234647302530977,2.052448156308141,1.5615998970681595,False,False
Default,U-T,auc,0.9560892017309041,-0.3763872578623998,1.5279293812803132,0.6302704047432801,False,False
DorsAttn,U-T,auc,0.16861786099809267,-0.49143494511831043,0.2375922451140537,0.2541329009557545,False,False
Limbic,U-T,auc,0.20686421649914807,-0.5325615181893489,0.7010362834604926,0.3817013479131072,False,False
SalVentAttn,U-T,auc,0.31894735314568057,-0.3552396356005217,0.8377032511932775,0.3843696660877924,False,False
SomMot,U-T,auc,0.5461621839084472,0.3715858569510485,1.2584238230108313,0.3112290662516652,True,False
Vis,U-T,auc,1.069498732032419,-1.0222930131394228,3.032710202912992,1.3325707324129616,False,False
Cont,S-U,auc,-2.2593642608792637,-4.397697164801351,0.586903034651782,1.6792973680224184,False,False
Default,S-U,auc,0.13382239202446441,-0.6059037581712097,1.0881765720164276,0.6016295590289478,False,False
DorsAttn,S-U,auc,-3.538142622998653,-3.59728911221797,-2.8775777229801682,0.22927008334937227,True,True
Limbic,S-U,auc,-0.08562541502409032,-0.5836052357934352,0.37906885477477226,0.30187665700973876,False,False
SalVentAttn,S-U,auc,-2.6123962300950776,-3.0689976782423534,-1.6918348228249676,0.4673270119467258,True,True
SomMot,S-U,auc,-1.496503759123162,-2.1226736268797732,-0.7545715592710593,0.4560106676391968,True,True
Vis,S-U,auc,-1.9666396190910262,-3.9766564649501572,0.20207182617124708,1.3680997564547854,False,False
