scenario,year,outcome,observed_sc,null_mean,null_sd,share_null_as_extreme,n_pairs
free_choice,10,unaided,-0.029410173319989727,-2.141699053347111e-05,0.0010732160476994645,0.0,2100
free_choice_centaur,10,unaided,-0.04699940287108932,-1.2613046744040079e-05,0.0014590069833377009,0.0,2100
scaffolding_nofade,10,unaided,0.023500816286319778,2.6242617510613942e-05,0.0007711660133596735,0.0,2100
scaffolding_rapid,10,unaided,0.031010373795316334,2.269428812322162e-05,0.0009132191124745,0.0,2100
substitution,10,unaided,-0.17707609417715242,-3.742959638081841e-05,0.004890638844042679,0.0,2100
free_choice,10,far,-0.020185117305566866,-1.646250752111276e-05,0.0006519375462940945,0.0,2100
free_choice_centaur,10,far,-0.04039368691011554,-4.772337483508243e-06,0.0011545588471588693,0.0,2100
scaffolding_nofade,10,far,0.018254478040727832,2.019058412561814e-05,0.000522703983193411,0.0,2100
scaffolding_rapid,10,far,0.025884005885039058,-1.1714574836548972e-07,0.0006802070200394577,0.0,2100
substitution,10,far,-0.1345083225655946,-5.437560006532642e-05,0.003456186397374429,0.0,2100
free_choice,10,retention,-0.021659240055651893,-1.6017809939526376e-05,0.0007374981344043042,0.0,2100
free_choice_centaur,10,retention,-0.03940751575643108,-9.853842854499809e-06,0.00116874400851569,0.0,2100
scaffolding_nofade,10,retention,0.017033851671786535,1.98943832658586e-05,0.0005207386850365171,0.0,2100
scaffolding_rapid,10,retention,0.026479899154177734,1.0295454040169718e-05,0.0007247894251093789,0.0,2100
substitution,10,retention,-0.14157740776560138,-3.579029487002464e-05,0.003790059251026429,0.0,2100
