term,estimate,se_cluster,ci_low,ci_high
Intercept,1.5105214855684634,0.07355183426107151,1.3663625394199042,1.6546804317170227
C(scenario)[T.free_choice],-0.009162404161097946,0.00817087305475306,-0.025177021070662716,0.006852212748466823
C(scenario)[T.free_choice_centaur],0.004427732279513305,0.009388809839054576,-0.013973996862728964,0.022829461421755574
C(scenario)[T.scaffolding_nofade],0.0032252358762756388,0.006101932661748602,-0.00873433237684025,0.015184804129391527
C(scenario)[T.scaffolding_rapid],0.009666941225844756,0.0055158418635186095,-0.0011439101710700155,0.020477792622759526
C(scenario)[T.substitution],-0.009450728636096844,0.015791977795944573,-0.04040243636080443,0.02150097908861074
C(stratum)[T.1],0.12879123529438083,0.07117122195509808,-0.01070179647331776,0.2682842670620794
C(stratum)[T.2],0.23776353566893413,0.08676195340281521,0.06771323177107391,0.40781383956679434
C(domain)[T.managerial_accounting],-0.022421965707376635,0.021705116119453857,-0.06496321158176598,0.020119280167012702
C(domain)[T.marketing_analytics],-0.062559581314022,0.03157548956211358,-0.12444640364998502,-0.0006727589780589835
C(domain)[T.pricing],-0.05874106463049464,0.0297506213731651,-0.1170512110395858,-0.0004309182214034743
"bs(episode, df=5)[0]",0.9412077236570184,0.10157730850882393,0.7421198573332095,1.1402955899808274
"bs(episode, df=5)[1]",0.9977943191476164,0.0783660710414606,0.8441996422964464,1.1513889959987864
"bs(episode, df=5)[2]",1.2113205980397346,0.10325319860044925,1.0089480474942925,1.4136931485851767
"bs(episode, df=5)[3]",1.1545416911481123,0.08634119510235866,0.9853160583653433,1.3237673239308814
"bs(episode, df=5)[4]",1.2489286454019042,0.09156975732216519,1.0694552189773876,1.4284020718264208
"C(scenario)[T.free_choice]:bs(episode, df=5)[0]",-0.07195185639253746,0.01964596029058566,-0.1104572310037894,-0.03344648178128551
"C(scenario)[T.free_choice_centaur]:bs(episode, df=5)[0]",-0.15243533802270803,0.025537809785955115,-0.2024885254472146,-0.10238215059820147
"C(scenario)[T.scaffolding_nofade]:bs(episode, df=5)[0]",0.07679386371996842,0.016033743055631485,0.04536830479356151,0.10821942264637532
"C(scenario)[T.scaffolding_rapid]:bs(episode, df=5)[0]",0.019648590627925913,0.012134339050250185,-0.004134276886762416,0.043431458142614246
"C(scenario)[T.substitution]:bs(episode, df=5)[0]",-0.42120589323884056,0.04383360549816911,-0.507118181327789,-0.3352936051498922
"C(scenario)[T.free_choice]:bs(episode, df=5)[1]",-0.04598520026284707,0.016616033599252837,-0.07855202768329007,-0.013418372842404061
"C(scenario)[T.free_choice_centaur]:bs(episode, df=5)[1]",-0.09020961162572674,0.01856726225415779,-0.126600776935386,-0.0538184463160675
"C(scenario)[T.scaffolding_nofade]:bs(episode, df=5)[1]",0.03183608807930122,0.014177657794633768,0.00404838941668546,0.05962378674191697
"C(scenario)[T.scaffolding_rapid]:bs(episode, df=5)[1]",-0.015488864896284704,0.010956609781095182,-0.03696342545989055,0.0059856956673211385
"C(scenario)[T.substitution]:bs(episode, df=5)[1]",-0.4098265606864647,0.03626089547079485,-0.4808966098563942,-0.33875651151653524
"C(scenario)[T.free_choice]:bs(episode, df=5)[2]",-0.038557183873050425,0.017514175552255318,-0.07288433717438275,-0.004230030571718092
"C(scenario)[T.free_choice_centaur]:bs(episode, df=5)[2]",-0.10130214424572848,0.023757092000808694,-0.14786518894471812,-0.05473909954673882
"C(scenario)[T.scaffolding_nofade]:bs(episode, df=5)[2]",0.04887372480944989,0.01749189587429814,0.014590238874500769,0.08315721074439901
"C(scenario)[T.scaffolding_rapid]:bs(episode, df=5)[2]",0.013018407906265034,0.012208385789101283,-0.010909588549744088,0.03694640436227416
"C(scenario)[T.substitution]:bs(episode, df=5)[2]",-0.2979820672435429,0.04079187489430686,-0.377932672898248,-0.21803146158883785
"C(scenario)[T.free_choice]:bs(episode, df=5)[3]",-0.05529980462688309,0.017109563630487927,-0.08883393313383581,-0.021765676119930376
"C(scenario)[T.free_choice_centaur]:bs(episode, df=5)[3]",-0.1258306695971646,0.02046278175101056,-0.16593698485264877,-0.08572435434168044
"C(scenario)[T.scaffolding_nofade]:bs(episode, df=5)[3]",0.05836191087430026,0.01454293517922232,0.029858281693523957,0.08686554005507656
"C(scenario)[T.scaffolding_rapid]:bs(episode, df=5)[3]",-0.005586116867010648,0.011645436528783493,-0.02841075304767344,0.01723851931365214
"C(scenario)[T.substitution]:bs(episode, df=5)[3]",-0.46828373883120294,0.038162973073076395,-0.5430817915974046,-0.39348568606500134
"C(scenario)[T.free_choice]:bs(episode, df=5)[4]",-0.029785009461305786,0.013156532899103611,-0.055571340104965214,-0.003998678817646362
"C(scenario)[T.free_choice_centaur]:bs(episode, df=5)[4]",-0.09830984889654809,0.018259308320658005,-0.1340974355876503,-0.06252226220544586
"C(scenario)[T.scaffolding_nofade]:bs(episode, df=5)[4]",0.024007205768387996,0.01207965002433164,0.00033152677484959286,0.0476828847619264
"C(scenario)[T.scaffolding_rapid]:bs(episode, df=5)[4]",-0.009226003468081263,0.008213000941975666,-0.025323189519347103,0.006871182583184579
"C(scenario)[T.substitution]:bs(episode, df=5)[4]",-0.3289242207145069,0.03427715400630984,-0.396106208059407,-0.2617422333696068
difficulty,-0.531487744467354,0.013955960943428335,-0.5588409252861212,-0.5041345636485869
