outcome,year,component,variance,share,n_scenarios,n_draws,n_learners,n_replicates
G,10,scenario,0.008740524900291908,0.682895939926289,4,20,100,3
G,10,parameters,0.00020167535619933057,0.015756866264074305,4,20,100,3
G,10,learner,0.003696984093245839,0.2888448298071138,4,20,100,3
G,10,behavior,0.00016247685030822313,0.012694292696745414,4,20,100,3
G,10,plasticity,0.0,0.0,4,20,100,3
G,10,stimulus,0.0,0.0,4,20,100,3
G,10,stimulus_generation,0.0,0.0,4,20,100,3
G,10,residual,-2.456534638518859e-06,-0.00019192869422256294,4,20,100,3
d_Cont (mechanism D),10,scenario,5.304126516676117,0.33144990461159907,4,20,100,3
d_Cont (mechanism D),10,parameters,1.5638171175749633,0.09772146890173014,4,20,100,3
d_Cont (mechanism D),10,learner,1.3279132086503003,0.08298005429467781,4,20,100,3
d_Cont (mechanism D),10,behavior,0.10541432923666982,0.006587242830716854,4,20,100,3
d_Cont (mechanism D),10,plasticity,6.494645595550537,0.4058443282533816,4,20,100,3
d_Cont (mechanism D),10,stimulus,1.0422852238918545,0.06513142870006872,4,20,100,3
d_Cont (mechanism D),10,stimulus_generation,0.18397097389996142,0.011496174074795097,4,20,100,3
d_Cont (mechanism D),10,residual,-0.019373016294661483,-0.001210601666969362,4,20,100,3
